Transaction_ID,Customer_ID,Transaction_Date,Product_ID,Product_Name,Category,Price,Quantity,Total_Spending,Payment_Method,Store_Location,Device_Used,Discount_Applied,Customer_Age,Customer_Gender,Customer_Income,Membership_Level,Rating,Return_Flag
TXN075455,CUST03697,2022-04-19,P0004,Product_84,Beauty,626.68,4.0,2506.72,PayPal,Boston,Desktop,20.0,30,Female,35000.0,Silver,2.0,No
TXN043567,CUST04258,2022-12-09,P0010,Product_11,Toys,1171.21,3.0,3513.63,Card,New York,Desktop,20.0,51,Female,50000.0,Silver,4.0,No
TXN031956,CUST02143,2022-09-06,P0104,Product_25,Grocery,1642.7,2.0,3285.4,PayPal,Miami,Desktop,0.0,38,Non-Binary,35000.0,Gold,5.0,No
TXN062990,CUST04026,2021-12-09,P0180,Product_99,Books,883.9,4.0,3535.6,Card,Seattle,Mobile,10.0,54,Female,125000.0,Bronze,5.0,No
TXN020872,CUST01141,2021-07-22,P0163,Product_157,Grocery,1078.01,4.0,4312.04,PayPal,New York,Mobile,0.0,58,Non-Binary,100000.0,Platinum,5.0,No
TXN033603,CUST04016,2022-10-08,P0064,Product_61,Fashion,1290.59,2.0,2581.18,Card,Boston,Mobile,20.0,52,Non-Binary,35000.0,Gold,3.0,No
TXN079714,CUST01775,2022-10-10,P0023,Product_183,Beauty,191.89,3.0,575.67,PayPal,Houston,Desktop,5.0,63,Non-Binary,100000.0,Platinum,2.0,No
TXN027408,CUST00555,2023-10-01,P0146,Product_65,Grocery,1674.15,1.0,1674.15,Card,Boston,Mobile,5.0,51,Male,125000.0,Silver,3.0,No
TXN041993,CUST02983,2021-03-21,P0153,Product_155,Beauty,158.4,3.0,475.2,Card,Houston,Desktop,0.0,38,Female,125000.0,Gold,2.0,No
TXN074713,CUST04115,2023-06-11,P0062,Product_91,Fashion,1619.87,4.0,6479.48,Card,San Francisco,Mobile,20.0,72,Non-Binary,35000.0,Platinum,4.0,No
TXN097020,CUST02035,2022-08-02,P0053,Product_64,Books,1733.9,1.0,1733.9,Card,Houston,Desktop,10.0,54,Non-Binary,100000.0,Bronze,1.0,No
TXN010807,CUST03822,2022-08-10,P0090,Product_3,Books,1629.05,4.0,6516.2,Card,Los Angeles,Desktop,5.0,74,Non-Binary,125000.0,Bronze,2.0,No
TXN088399,CUST00907,2022-01-08,P0134,Product_58,Books,1391.17,3.0,4173.51,Card,Chicago,Desktop,20.0,36,Male,35000.0,Platinum,4.0,Yes
TXN043202,CUST01113,2021-06-21,P0003,Product_106,Beauty,461.32,2.0,922.64,PayPal,Chicago,Mobile,10.0,33,Male,125000.0,Silver,4.0,No
TXN038390,CUST00417,2021-06-11,P0155,Product_86,Fashion,1437.88,3.0,4313.64,Card,Houston,Desktop,5.0,21,Non-Binary,50000.0,Gold,1.0,No
TXN016546,CUST01822,2023-10-05,P0135,Product_77,Toys,727.15,2.0,1454.3,Card,Miami,Desktop,20.0,22,Female,50000.0,Silver,2.0,No
TXN069139,CUST00139,2021-04-26,P0135,Product_152,Toys,1260.33,2.0,2520.66,Card,Seattle,Mobile,0.0,61,Female,125000.0,Silver,4.0,No
TXN061915,CUST02451,2023-08-20,P0067,Product_191,Grocery,1330.08,2.0,2660.16,Card,Seattle,Mobile,5.0,19,Non-Binary,100000.0,Platinum,4.0,No
TXN086360,CUST01940,2021-09-06,P0022,Product_15,Grocery,808.11,2.0,1616.22,Card,Houston,Desktop,5.0,72,Non-Binary,50000.0,Gold,1.0,Yes
TXN057201,CUST00383,2021-12-10,P0179,Product_172,Home & Kitchen,490.67,3.0,1472.01,Card,Chicago,Mobile,10.0,38,Female,50000.0,Gold,5.0,No
TXN036110,CUST04086,2021-08-09,P0027,Product_5,Fashion,1012.55,4.0,4050.2,PayPal,New York,Desktop,10.0,40,Male,50000.0,Silver,2.0,No
TXN090072,CUST00316,2022-06-22,P0125,Product_114,Grocery,23.79,3.0,71.37,Card,Miami,Desktop,0.0,44,Male,100000.0,Bronze,2.0,No
TXN049493,CUST01557,2021-10-14,P0004,Product_38,Grocery,1107.82,4.0,4431.28,Card,Miami,Desktop,0.0,39,Male,35000.0,Gold,2.0,No
TXN098087,CUST03444,2023-11-17,P0033,Product_22,Toys,1226.42,1.0,1226.42,Card,Chicago,Desktop,10.0,70,Female,35000.0,Gold,1.0,No
TXN051716,CUST04089,2021-08-20,P0143,Product_79,Grocery,964.53,2.0,1929.06,Card,Seattle,Desktop,10.0,58,Non-Binary,125000.0,Platinum,3.0,No
TXN060030,CUST00181,2022-05-13,P0111,Product_70,Books,413.36,4.0,1653.44,Card,Houston,Desktop,5.0,36,Female,75000.0,Bronze,2.0,No
TXN029362,CUST01688,2021-07-04,P0133,Product_84,Sports,1205.39,3.0,3616.17,Card,Boston,Mobile,10.0,40,Non-Binary,35000.0,Bronze,1.0,No
TXN076101,CUST04553,2022-09-01,P0086,Product_17,Home & Kitchen,588.27,1.0,588.27,PayPal,Houston,Desktop,5.0,48,Male,50000.0,Silver,5.0,No
TXN030537,CUST03514,2023-07-29,P0059,Product_21,Beauty,493.44,3.0,1480.32,Card,San Francisco,Mobile,20.0,62,Male,75000.0,Gold,1.0,No
TXN055955,CUST02946,2021-10-30,P0083,Product_86,Fashion,898.2,3.0,2694.6,Card,Houston,Mobile,0.0,68,Male,125000.0,Bronze,5.0,Yes
TXN006602,CUST01441,2023-10-28,P0113,Product_142,Home & Kitchen,320.51,2.0,641.02,Card,Boston,Mobile,5.0,59,Female,125000.0,Silver,3.0,No
TXN042332,CUST02652,2021-05-15,P0116,Product_193,Fashion,70.17,4.0,280.68,Card,San Francisco,Desktop,10.0,45,Non-Binary,125000.0,Silver,3.0,No
TXN011213,CUST02631,2022-09-02,P0164,Product_115,Electronics,977.44,2.0,1954.88,PayPal,San Francisco,Mobile,0.0,29,Male,75000.0,Gold,5.0,Yes
TXN037238,CUST03476,2023-04-23,P0009,Product_50,Grocery,481.32,2.0,962.64,Card,New York,Desktop,10.0,35,Female,50000.0,Silver,5.0,No
TXN044172,CUST03523,2021-01-20,P0070,Product_115,Beauty,1489.74,1.0,1489.74,Card,Seattle,Mobile,10.0,70,Male,100000.0,Platinum,4.0,No
TXN062183,CUST04560,2023-03-31,P0063,Product_150,Toys,1960.06,2.0,3920.12,Card,Miami,Desktop,20.0,61,Female,75000.0,Silver,3.0,No
TXN024077,CUST02947,2022-07-30,P0175,Product_19,Books,1695.3,1.0,1695.3,PayPal,Miami,Desktop,0.0,52,Male,35000.0,Bronze,5.0,No
TXN069538,CUST00800,2022-08-09,P0115,Product_196,Home & Kitchen,310.27,3.0,930.81,PayPal,Seattle,Desktop,0.0,23,Female,35000.0,Silver,1.0,No
TXN033986,CUST02553,2022-09-23,P0011,Product_76,Books,661.46,1.0,661.46,Card,Miami,Mobile,10.0,42,Male,125000.0,Platinum,1.0,No
TXN053837,CUST01611,2023-05-07,P0057,Product_111,Toys,89.44,1.0,89.44,Card,Miami,Mobile,5.0,39,Non-Binary,75000.0,Gold,4.0,No
TXN029277,CUST04511,2022-11-21,P0090,Product_87,Grocery,165.68,4.0,662.72,Card,Seattle,Mobile,20.0,61,Non-Binary,50000.0,Gold,4.0,Yes
TXN025758,CUST00409,2023-02-19,P0021,Product_153,Sports,878.83,4.0,3515.32,PayPal,Miami,Desktop,5.0,64,Female,100000.0,Gold,5.0,No
TXN000382,CUST00784,2021-02-04,P0158,Product_122,Grocery,14.85,4.0,59.4,Card,Los Angeles,Mobile,20.0,60,Male,50000.0,Bronze,1.0,No
TXN006730,CUST04239,2022-12-09,P0117,Product_166,Grocery,1098.53,1.0,1098.53,Card,New York,Mobile,5.0,30,Female,75000.0,Bronze,3.0,No
TXN048164,CUST02402,2021-08-25,P0167,Product_22,Home & Kitchen,935.53,1.0,935.53,PayPal,Seattle,Desktop,5.0,34,Female,35000.0,Bronze,5.0,No
TXN079908,CUST03027,2022-06-24,P0065,Product_97,Toys,151.79,1.0,151.79,PayPal,Los Angeles,Desktop,0.0,57,Non-Binary,50000.0,Gold,3.0,No
TXN029563,CUST01818,2022-06-02,P0117,Product_157,Electronics,832.55,1.0,832.55,Card,Boston,Desktop,10.0,21,Female,75000.0,Gold,5.0,Yes
TXN065439,CUST02852,2021-04-17,P0010,Product_117,Home & Kitchen,1009.72,1.0,1009.72,PayPal,Boston,Desktop,5.0,61,Non-Binary,50000.0,Platinum,5.0,No
TXN016383,CUST00105,2023-05-15,P0005,Product_41,Toys,504.29,2.0,1008.58,Card,Houston,Desktop,10.0,31,Female,75000.0,Silver,4.0,Yes
TXN018817,CUST04209,2021-12-10,P0196,Product_65,Toys,991.4,4.0,3965.6,Card,Boston,Desktop,0.0,44,Male,35000.0,Gold,5.0,No
TXN064691,CUST02217,2022-04-17,P0153,Product_175,Beauty,105.2,4.0,420.8,Card,San Francisco,Mobile,5.0,28,Male,100000.0,Silver,1.0,No
TXN070037,CUST01570,2023-10-09,P0009,Product_187,Beauty,642.93,4.0,2571.72,PayPal,Chicago,Mobile,5.0,63,Male,35000.0,Silver,5.0,No
TXN012283,CUST03513,2021-04-21,P0157,Product_19,Beauty,815.95,3.0,2447.85,Card,Seattle,Mobile,10.0,55,Male,75000.0,Silver,2.0,No
TXN046607,CUST04927,2022-01-12,P0155,Product_20,Beauty,691.24,4.0,2764.96,Card,Seattle,Mobile,0.0,21,Male,100000.0,Silver,5.0,No
TXN081413,CUST01214,2023-01-31,P0142,Product_92,Books,1552.14,1.0,1552.14,Card,Los Angeles,Desktop,5.0,22,Male,100000.0,Platinum,1.0,No
TXN041494,CUST04351,2023-10-19,P0186,Product_68,Beauty,1611.34,4.0,6445.36,Card,Seattle,Mobile,20.0,30,Male,100000.0,Silver,5.0,No
TXN002442,CUST03021,2021-10-10,P0103,Product_139,Grocery,1756.32,2.0,3512.64,PayPal,Seattle,Desktop,0.0,24,Male,35000.0,Gold,5.0,No
TXN035163,CUST03599,2021-09-09,P0194,Product_20,Beauty,1607.73,2.0,3215.46,Card,San Francisco,Mobile,0.0,33,Male,50000.0,Silver,1.0,No
TXN061176,CUST00497,2021-11-04,P0020,Product_45,Toys,328.25,3.0,984.75,Card,Houston,Desktop,0.0,69,Male,35000.0,Platinum,1.0,No
TXN033209,CUST00813,2022-09-11,P0147,Product_175,Home & Kitchen,405.09,2.0,810.18,PayPal,San Francisco,Mobile,10.0,52,Female,125000.0,Gold,5.0,No
TXN025477,CUST03881,2022-01-04,P0173,Product_72,Beauty,1061.96,1.0,1061.96,Card,San Francisco,Desktop,5.0,20,Female,35000.0,Platinum,4.0,No
TXN056826,CUST00128,2023-10-20,P0001,Product_135,Sports,1391.06,4.0,5564.24,Card,Boston,Desktop,10.0,62,Non-Binary,100000.0,Platinum,4.0,No
TXN001157,CUST03031,2023-06-04,P0028,Product_171,Beauty,296.08,1.0,296.08,Card,Chicago,Mobile,0.0,25,Non-Binary,75000.0,Silver,1.0,No
TXN020861,CUST00651,2023-10-12,P0033,Product_171,Fashion,1342.06,3.0,4026.18,PayPal,Houston,Desktop,0.0,24,Non-Binary,125000.0,Bronze,2.0,No
TXN094194,CUST04228,2021-08-04,P0015,Product_167,Toys,1823.81,1.0,1823.81,Card,Seattle,Mobile,20.0,20,Non-Binary,125000.0,Silver,5.0,No
TXN012513,CUST02228,2021-03-11,P0137,Product_103,Home & Kitchen,1776.47,2.0,3552.94,Card,Los Angeles,Mobile,5.0,53,Female,75000.0,Bronze,2.0,No
TXN029086,CUST01851,2023-11-19,P0028,Product_189,Books,1808.86,4.0,7235.44,Card,San Francisco,Desktop,0.0,38,Male,35000.0,Gold,2.0,No
TXN095555,CUST00614,2023-04-08,P0119,Product_117,Books,1631.98,4.0,6527.92,Card,Los Angeles,Desktop,0.0,50,Male,75000.0,Silver,2.0,No
TXN023383,CUST04455,2021-02-26,P0060,Product_183,Fashion,972.19,4.0,3888.76,Card,Boston,Mobile,5.0,42,Male,35000.0,Platinum,1.0,No
TXN085814,CUST03423,2022-06-22,P0118,Product_3,Electronics,1864.54,4.0,7458.16,Card,Boston,Mobile,5.0,60,Female,100000.0,Bronze,2.0,No
TXN017361,CUST04610,2023-11-05,P0049,Product_81,Home & Kitchen,550.87,4.0,2203.48,PayPal,Chicago,Mobile,20.0,18,Male,75000.0,Silver,2.0,Yes
TXN051870,CUST04309,2021-11-18,P0151,Product_43,Home & Kitchen,1179.88,3.0,3539.64,PayPal,New York,Desktop,20.0,58,Non-Binary,35000.0,Silver,5.0,No
TXN065327,CUST03764,2023-02-28,P0038,Product_62,Sports,1279.23,2.0,2558.46,Card,New York,Desktop,5.0,35,Male,50000.0,Gold,2.0,No
TXN076119,CUST01642,2022-03-23,P0005,Product_70,Beauty,194.5,3.0,583.5,PayPal,San Francisco,Desktop,5.0,66,Female,35000.0,Gold,4.0,No
TXN026090,CUST03339,2022-07-01,P0199,Product_16,Beauty,1255.65,3.0,3766.95,PayPal,Houston,Mobile,5.0,52,Male,50000.0,Gold,4.0,No
TXN096096,CUST01998,2022-12-08,P0182,Product_142,Sports,676.61,2.0,1353.22,Card,Boston,Desktop,5.0,60,Non-Binary,75000.0,Silver,4.0,No
TXN058622,CUST04931,2022-11-06,P0135,Product_159,Grocery,1067.16,4.0,4268.64,Card,Seattle,Mobile,10.0,41,Non-Binary,50000.0,Bronze,2.0,No
TXN067099,CUST04864,2022-10-25,P0037,Product_29,Grocery,1908.36,4.0,7633.44,Card,Seattle,Mobile,5.0,46,Female,50000.0,Platinum,1.0,No
TXN029253,CUST01511,2022-03-20,P0187,Product_169,Fashion,1175.49,3.0,3526.47,PayPal,Chicago,Mobile,0.0,27,Non-Binary,75000.0,Bronze,4.0,No
TXN024900,CUST02745,2021-11-18,P0039,Product_85,Sports,1607.29,3.0,4821.87,Card,Chicago,Desktop,20.0,69,Non-Binary,75000.0,Platinum,3.0,No
TXN077325,CUST02883,2021-09-07,P0112,Product_29,Grocery,1500.08,3.0,4500.24,Card,Chicago,Desktop,10.0,74,Female,125000.0,Platinum,2.0,No
TXN039853,CUST01623,2021-08-07,P0182,Product_34,Home & Kitchen,428.4,2.0,856.8,PayPal,New York,Mobile,20.0,25,Non-Binary,35000.0,Silver,2.0,No
TXN057351,CUST00144,2023-10-15,P0129,Product_80,Sports,743.78,2.0,1487.56,Card,Miami,Mobile,5.0,40,Non-Binary,100000.0,Bronze,1.0,No
TXN005796,CUST03257,2023-02-09,P0076,Product_44,Sports,1444.53,1.0,1444.53,Card,New York,Mobile,0.0,67,Male,50000.0,Platinum,4.0,No
TXN000717,CUST01861,2021-01-06,P0044,Product_129,Sports,1699.94,4.0,6799.76,PayPal,San Francisco,Desktop,10.0,37,Female,35000.0,Silver,3.0,No
TXN033520,CUST00872,2023-06-03,P0082,Product_82,Sports,970.3,1.0,970.3,Card,Houston,Desktop,0.0,35,Male,125000.0,Silver,1.0,No
TXN055545,CUST04109,2023-10-18,P0037,Product_173,Toys,1251.2,4.0,5004.8,Card,Chicago,Mobile,20.0,61,Female,100000.0,Platinum,3.0,Yes
TXN093508,CUST04647,2021-09-07,P0064,Product_79,Grocery,1770.22,4.0,7080.88,Card,Los Angeles,Desktop,5.0,32,Non-Binary,100000.0,Silver,3.0,No
TXN097307,CUST00694,2022-01-17,P0037,Product_194,Sports,1758.82,3.0,5276.46,PayPal,Chicago,Desktop,5.0,23,Male,125000.0,Silver,4.0,No
TXN012625,CUST01665,2023-05-20,P0027,Product_49,Toys,1438.91,4.0,5755.64,PayPal,Houston,Desktop,0.0,42,Male,75000.0,Silver,2.0,No
TXN084493,CUST02665,2023-06-09,P0130,Product_100,Toys,1483.12,3.0,4449.36,Card,Los Angeles,Mobile,10.0,42,Female,75000.0,Platinum,3.0,No
TXN038386,CUST01378,2023-04-01,P0169,Product_148,Toys,927.32,3.0,2781.96,PayPal,Boston,Desktop,20.0,27,Female,75000.0,Silver,2.0,No
TXN065097,CUST01242,2023-07-25,P0051,Product_48,Beauty,1456.98,1.0,1456.98,Card,San Francisco,Mobile,20.0,33,Male,125000.0,Silver,3.0,No
TXN039446,CUST01549,2022-06-09,P0104,Product_14,Books,274.86,1.0,274.86,Card,Boston,Mobile,10.0,33,Female,50000.0,Silver,2.0,No
TXN067137,CUST01632,2023-12-28,P0074,Product_34,Beauty,1424.91,3.0,4274.73,PayPal,Chicago,Mobile,10.0,66,Female,125000.0,Platinum,2.0,No
TXN073414,CUST04469,2021-03-13,P0024,Product_118,Toys,896.22,1.0,896.22,PayPal,Seattle,Desktop,5.0,53,Male,125000.0,Gold,4.0,No
TXN040826,CUST00656,2021-06-18,P0137,Product_191,Home & Kitchen,465.37,4.0,1861.48,Card,New York,Mobile,10.0,51,Female,75000.0,Platinum,4.0,No
TXN016834,CUST00752,2023-03-03,P0041,Product_58,Fashion,1611.82,2.0,3223.64,PayPal,Houston,Desktop,20.0,39,Female,100000.0,Platinum,4.0,No
TXN001525,CUST01999,2023-06-11,P0041,Product_115,Grocery,11.18,1.0,11.18,PayPal,Boston,Desktop,0.0,39,Non-Binary,50000.0,Silver,5.0,No
TXN078429,CUST04792,2021-09-16,P0125,Product_79,Electronics,1691.39,1.0,1691.39,Card,Miami,Mobile,5.0,31,Male,100000.0,Silver,5.0,Yes
TXN091506,CUST03388,2021-05-01,P0063,Product_98,Electronics,750.81,2.0,1501.62,Card,San Francisco,Mobile,20.0,31,Male,125000.0,Silver,3.0,No
TXN076623,CUST02618,2021-03-22,P0027,Product_133,Home & Kitchen,20.22,4.0,80.88,Card,Miami,Mobile,0.0,30,Non-Binary,35000.0,Platinum,2.0,No
TXN085326,CUST01668,2021-01-21,P0006,Product_123,Electronics,1448.03,3.0,4344.09,Card,Boston,Desktop,5.0,37,Female,125000.0,Silver,1.0,No
TXN072128,CUST00490,2021-12-09,P0025,Product_100,Books,381.62,1.0,381.62,Card,Chicago,Desktop,20.0,19,Non-Binary,75000.0,Bronze,1.0,No
TXN097934,CUST00992,2021-01-08,P0195,Product_110,Home & Kitchen,1164.02,4.0,4656.08,PayPal,Los Angeles,Desktop,20.0,63,Male,50000.0,Silver,5.0,No
TXN047246,CUST03089,2022-09-09,P0056,Product_40,Sports,1736.68,2.0,3473.36,Card,Miami,Desktop,5.0,34,Non-Binary,35000.0,Silver,4.0,No
TXN003393,CUST02390,2022-10-08,P0072,Product_150,Sports,259.62,4.0,1038.48,Card,Houston,Desktop,0.0,37,Male,100000.0,Platinum,2.0,No
TXN057432,CUST00992,2022-05-30,P0149,Product_135,Home & Kitchen,930.55,4.0,3722.2,Card,Boston,Desktop,5.0,69,Non-Binary,50000.0,Platinum,2.0,No
TXN002403,CUST03965,2022-10-23,P0061,Product_180,Fashion,127.52,2.0,255.04,PayPal,New York,Mobile,0.0,47,Male,125000.0,Silver,3.0,No
TXN022582,CUST00403,2022-05-27,P0152,Product_198,Grocery,1366.52,4.0,5466.08,Card,Houston,Mobile,10.0,21,Male,125000.0,Gold,3.0,No
TXN009140,CUST04158,2022-02-03,P0145,Product_28,Beauty,1772.69,1.0,1772.69,Card,Chicago,Mobile,0.0,73,Non-Binary,50000.0,Platinum,2.0,No
TXN090923,CUST00892,2021-06-22,P0004,Product_20,Beauty,1770.87,4.0,7083.48,PayPal,New York,Mobile,5.0,51,Male,50000.0,Bronze,4.0,Yes
TXN005747,CUST02449,2022-04-08,P0172,Product_134,Fashion,974.28,1.0,974.28,Card,Seattle,Desktop,10.0,65,Female,75000.0,Silver,1.0,No
TXN055108,CUST03358,2023-04-28,P0064,Product_171,Beauty,1582.08,3.0,4746.24,PayPal,Boston,Mobile,20.0,74,Female,125000.0,Bronze,1.0,No
TXN016668,CUST02004,2022-06-16,P0130,Product_165,Electronics,482.88,3.0,1448.64,Card,New York,Mobile,5.0,36,Non-Binary,125000.0,Platinum,3.0,No
TXN007066,CUST04359,2023-12-25,P0053,Product_160,Electronics,1546.99,4.0,6187.96,Card,Chicago,Desktop,20.0,26,Non-Binary,100000.0,Silver,1.0,No
TXN040738,CUST01635,2021-02-03,P0088,Product_20,Grocery,1380.44,2.0,2760.88,Card,Chicago,Mobile,20.0,54,Non-Binary,100000.0,Bronze,3.0,No
TXN010470,CUST02615,2021-09-01,P0101,Product_64,Home & Kitchen,1450.96,2.0,2901.92,Card,Seattle,Desktop,0.0,60,Female,50000.0,Bronze,1.0,No
TXN020423,CUST00762,2023-11-17,P0013,Product_109,Home & Kitchen,1757.69,2.0,3515.38,PayPal,New York,Mobile,20.0,69,Non-Binary,75000.0,Platinum,5.0,No
TXN054206,CUST04126,2021-06-21,P0140,Product_9,Home & Kitchen,617.77,1.0,617.77,Card,Seattle,Mobile,10.0,41,Non-Binary,75000.0,Gold,1.0,No
TXN012124,CUST04989,2022-01-28,P0037,Product_46,Sports,552.71,3.0,1658.13,Card,Seattle,Desktop,5.0,61,Female,125000.0,Bronze,5.0,No
TXN069439,CUST04689,2023-02-21,P0116,Product_117,Electronics,1049.31,4.0,4197.24,Card,San Francisco,Desktop,20.0,67,Female,125000.0,Gold,4.0,No
TXN065260,CUST01669,2021-12-23,P0046,Product_30,Beauty,670.94,2.0,1341.88,Card,New York,Desktop,5.0,42,Non-Binary,75000.0,Silver,2.0,No
TXN073244,CUST01154,2021-12-24,P0063,Product_167,Beauty,347.29,4.0,1389.16,Card,Miami,Mobile,10.0,30,Non-Binary,125000.0,Silver,4.0,No
TXN086717,CUST04546,2021-12-24,P0097,Product_70,Beauty,1154.9,3.0,3464.7,Card,Miami,Mobile,20.0,50,Male,100000.0,Silver,2.0,No
TXN067341,CUST00698,2023-01-05,P0181,Product_8,Fashion,1654.68,1.0,1654.68,PayPal,San Francisco,Mobile,10.0,30,Non-Binary,125000.0,Gold,4.0,No
TXN008587,CUST01008,2023-05-08,P0171,Product_101,Fashion,771.47,2.0,1542.94,Card,San Francisco,Desktop,5.0,50,Female,100000.0,Platinum,2.0,No
TXN030802,CUST04612,2023-07-02,P0142,Product_106,Beauty,1107.12,2.0,2214.24,PayPal,Boston,Desktop,5.0,38,Female,125000.0,Platinum,3.0,No
TXN056339,CUST03024,2023-06-15,P0080,Product_122,Toys,1708.58,1.0,1708.58,Card,Houston,Desktop,20.0,51,Male,35000.0,Platinum,5.0,No
TXN087097,CUST04880,2022-05-09,P0042,Product_103,Grocery,375.87,4.0,1503.48,PayPal,Boston,Desktop,0.0,52,Female,50000.0,Platinum,1.0,No
TXN022331,CUST00257,2023-08-13,P0182,Product_72,Sports,1757.36,3.0,5272.08,Card,San Francisco,Mobile,0.0,22,Female,125000.0,Gold,1.0,No
TXN063937,CUST03529,2021-04-22,P0137,Product_77,Toys,1751.31,1.0,1751.31,PayPal,Houston,Mobile,0.0,24,Male,50000.0,Bronze,1.0,No
TXN009267,CUST00238,2023-04-29,P0096,Product_184,Grocery,1030.14,1.0,1030.14,PayPal,Chicago,Desktop,20.0,43,Male,75000.0,Platinum,3.0,No
TXN028234,CUST01890,2022-10-07,P0031,Product_158,Toys,1434.34,4.0,5737.36,Card,Chicago,Desktop,10.0,72,Non-Binary,35000.0,Platinum,1.0,Yes
TXN015491,CUST04843,2021-03-17,P0101,Product_74,Grocery,603.56,3.0,1810.68,PayPal,New York,Desktop,10.0,69,Female,35000.0,Platinum,2.0,No
TXN069293,CUST03747,2023-01-14,P0126,Product_169,Electronics,647.9,2.0,1295.8,Card,Chicago,Desktop,10.0,53,Female,50000.0,Platinum,1.0,No
TXN005409,CUST02571,2021-07-29,P0061,Product_5,Beauty,966.57,4.0,3866.28,PayPal,San Francisco,Desktop,0.0,64,Male,35000.0,Gold,3.0,No
TXN005550,CUST04144,2021-09-04,P0107,Product_140,Electronics,1942.79,1.0,1942.79,PayPal,Boston,Mobile,20.0,33,Non-Binary,35000.0,Bronze,2.0,No
TXN004215,CUST00206,2022-08-14,P0105,Product_180,Sports,1219.82,4.0,4879.28,Card,San Francisco,Desktop,0.0,51,Non-Binary,125000.0,Platinum,1.0,No
TXN046942,CUST02184,2023-10-20,P0127,Product_96,Books,550.98,3.0,1652.94,Card,Chicago,Desktop,5.0,65,Female,75000.0,Gold,2.0,No
